UNIPROTKB GENES
Q4DTX9 Tc00.1047053509233.160
Q4CQJ5 Tc00.1047053467287.10
Q4CYE5 Tc00.1047053503801.9
Q4D0P7 Tc00.1047053510301.50
Q4D296 Tc00.1047053503521.60
Q4D5E7 Tc00.1047053511165.10
Q4D6L2 Tc00.1047053505939.10
Q4D6R3 Tc00.1047053511733.20
Q4D7B7 Tc00.1047053510743.40
Q4D8X0 Tc00.1047053506587.60
Q4D9F2 Tc00.1047053508979.50
Q4DCW9 Tc00.1047053506791.70
Q4DE59 Tc00.1047053504089.30
Q4DFA9 Tc00.1047053508209.110
Q4DHH3 Tc00.1047053510265.70
Q4DHZ6 Tc00.1047053511071.202
Q4DK25 Tc00.1047053506525.90
Q4D0B8 Tc00.1047053511047.70
Q4D1N6 Tc00.1047053510887.70
Q4D2E4 Tc00.1047053506869.20
Q4D4K9 Tc00.1047053511541.9
Q4D6J0 Tc00.1047053506721.30
Q4DBU2 Tc00.1047053506567.70
Q4D0N0 Tc00.1047053509605.10
Q4CPZ4 Tc00.1047053503433.30
Q4DS06 Tc00.1047053507949.140
Q4DG08 Tc00.1047053509053.120
Q4DH17 Tc00.1047053506251.110
Q4D9Y7 Tc00.1047053511365.100
Q4DMR0 Tc00.1047053506939.40
Q4DPQ8 Tc00.1047053511181.100
Q4E0P7 Tc00.1047053506297.220
Q4DAR5 Tc00.1047053510971.30
Q4DYN4 Tc00.1047053504427.90
Q4E2R0 Tc00.1047053504153.230
Q4E4R7 Tc00.1047053508461.420
Q4DUX5 Tc00.1047053506605.59
Q4CRC4 Tc00.1047053430895.4
Q4DM31 Tc00.1047053511577.70
Q4DRY9 Tc00.1047053508307.60
Q4DTI4 Tc00.1047053507053.209
Q4E047 Tc00.1047053506501.20
Q4CRG6 Tc00.1047053507551.9
Q4DGC1 Tc00.1047053510371.130
Q4DQA1 Tc00.1047053506757.90
Q4D406 Tc00.1047053508771.40
Q4DMZ3 Tc00.1047053511529.20
Q4DS34 Tc00.1047053510657.30
Q4DSD0 Tc00.1047053509767.44
Q4DXH7 Tc00.1047053506941.194
Q4CVG5 Tc00.1047053507873.40
Q4DWI6 Tc00.1047053511725.30
Q4E387 Tc00.1047053510279.40
Q4E574 Tc00.1047053506559.540
Q4CLN1 Tc00.1047053508127.9
Q4DI49 Tc00.1047053509151.140
Q4CXR2 Tc00.1047053511209.69
Q4DQW9 Tc00.1047053509331.221
Q4DCV0 Tc00.1047053506919.60
Q4D9X8 Tc00.1047053510687.94
Q4DNK6 Tc00.1047053506871.80
Q4E1D8 Tc00.1047053511807.64
Q4E629 Tc00.1047053508153.630
Q4DAD1 Tc00.1047053508989.100
Q4DJZ4 Tc00.1047053509671.84
Q4DXB8 Tc00.1047053510901.170
Q4DZ70 Tc00.1047053507023.150
Q4E2I5 Tc00.1047053508479.350
Q4CLJ9 Tc00.1047053459389.10
Q4E243 Tc00.1047053508707.340
Q4CSH5 Tc00.1047053504231.10
Q4D0G0 Tc00.1047053503417.36
Q4D2F0 Tc00.1047053509797.60
Q4D4Z2 Tc00.1047053506729.50
Q4D7K5 Tc00.1047053511607.100
Q4DBB1 Tc00.1047053509161.110
Q4DCT7 Tc00.1047053505267.110
Q4DHK2 Tc00.1047053506181.30
Q4DKE2 Tc00.1047053508817.110
Q4D2U4 Tc00.1047053506359.99
Q4D5P2 Tc00.1047053511051.59
Q4DGJ7 Tc00.1047053511625.30
Q4DNM8 Tc00.1047053506821.170
Q4DVA9 Tc00.1047053508761.160
Q4DPP2 Tc00.1047053506743.130
Q4DZ77 Tc00.1047053507023.90
Q4DKR5 Tc00.1047053511867.10
Q4DUW2 Tc00.1047053506605.190
Q4DW42 Tc00.1047053507681.90
Q4CRA5 Tc00.1047053509757.49
Q4CXP4 Tc00.1047053508643.40
Q4DKV6 Tc00.1047053509769.4
Q4DNU7 Tc00.1047053511003.30
Q4DUI7 Tc00.1047053510661.40
Q4E2P6 Tc00.1047053510889.4
Q4CPQ7 Tc00.1047053510977.9
Q4CS38 Tc00.1047053509835.10
Q4CU84 Tc00.1047053507675.10
Q4CXB0 Tc00.1047053503527.29
Q4CZ40 Tc00.1047053503987.70
Q4D161 Tc00.1047053509745.60
Q4DRC1 Tc00.1047053509693.100
Q4E128 Tc00.1047053506247.270
Q4D9A1 Tc00.1047053510697.80
Q4CQV3 Tc00.1047053505699.10
Q4CSP6 Tc00.1047053510751.4
Q4CW84 Tc00.1047053503637.20
Q4CZQ4 Tc00.1047053510123.40
Q4D136 Tc00.1047053507483.60
Q4D794 Tc00.1047053506351.9
Q4DCL3 Tc00.1047053507771.90
Q4DTG7 Tc00.1047053508737.180
Q4D9S3 Tc00.1047053504045.130
Q4DFX9 Tc00.1047053510655.120
Q4DM46 Tc00.1047053506425.110
Q4DNE3 Tc00.1047053504827.110
Q4DP82 Tc00.1047053506967.10
Q4DRD6 Tc00.1047053506503.90
Q4DUI3 Tc00.1047053510661.90
Q4E1V2 Tc00.1047053507993.290
Q4E2H2 Tc00.1047053509525.130
Q4E4D1 Tc00.1047053510187.210
Q4E550 Tc00.1047053510359.210
Q4CMX2 Tc00.1047053503821.19
Q4CRY3 Tc00.1047053507631.20
Q4CVR8 Tc00.1047053507029.41
Q4D274 Tc00.1047053509963.60
Q4D797 Tc00.1047053506315.80
Q4D7A2 Tc00.1047053506315.30
Q4DC11 Tc00.1047053507009.20
Q4DHI7 Tc00.1047053508569.20
Q4DJA1 Tc00.1047053511815.40
Q4DJR9 Tc00.1047053510715.90
Q4DL33 Tc00.1047053503893.160
Q4D319 Tc00.1047053509539.44
Q4CV46 Tc00.1047053508959.20
Q4D2B2 Tc00.1047053509595.70
Q4D374 Tc00.1047053506597.9
Q4D9M3 Tc00.1047053510579.14
Q4DAY1 Tc00.1047053506579.60
Q4DF92 Tc00.1047053506009.20
Q4DIM3 Tc00.1047053509777.110
Q4DJ69 Tc00.1047053505183.20
Q4DL19 Tc00.1047053511261.130
Q4DQM3 Tc00.1047053509109.130
Q4DS29 Tc00.1047053510657.100
Q4DTE3 Tc00.1047053510311.199
Q4DZD5 Tc00.1047053506537.130
Q4E4U0 Tc00.1047053508461.210
Q4DBX0 Tc00.1047053504103.50
Q4DWZ7 Tc00.1047053510533.180
Q4DM55 Tc00.1047053506425.20
Q4DYR6 Tc00.1047053507641.100
Q4DZ71 Tc00.1047053507023.140
Q4E3G7 Tc00.1047053507611.199
Q4E4Y8 Tc00.1047053511255.169
Q4D231 Tc00.1047053510635.40
Q4CZ89 Tc00.1047053511057.50
Q4DSY5 Tc00.1047053504769.160
Q4DVR4 Tc00.1047053510659.20
Q4DSM4 Tc00.1047053509007.40
Q4D2E9 Tc00.1047053509797.69
Q4DB37 Tc00.1047053510173.50
Q4DGN9 Tc00.1047053506835.159
Q4DJY7 Tc00.1047053509671.164
Q4DPV6 Tc00.1047053510877.40
Q4DZ15 Tc00.1047053510303.40
Q4CKX9 Tc00.1047053509781.10
Q4CTI2 Tc00.1047053503493.30
Q4D3G1 Tc00.1047053508719.30
Q4D4U8 Tc00.1047053511523.80
Q4D6V4 Tc00.1047053510367.10
Q4D8F8 Tc00.1047053508567.60
Q4D8K5 Tc00.1047053503453.20
Q4DCE8 Tc00.1047053506267.30
Q4DDK6 Tc00.1047053511293.90
Q4DEI9 Tc00.1047053511643.30
Q4DKU7 Tc00.1047053509769.66
Q4CZ13 Tc00.1047053510295.15
Q4D1N1 Tc00.1047053510763.60
Q4D4B1 Tc00.1047053506269.70
Q4D8N1 Tc00.1047053506221.40
Q4DB99 Tc00.1047053510091.7
Q4DCR9 Tc00.1047053509073.110
Q4DFQ1 Tc00.1047053509911.70
Q4DHT3 Tc00.1047053506177.90
Q4DJ59 Tc00.1047053505183.120
Q4CT91 Tc00.1047053510999.30
Q4CNW4 Tc00.1047053508063.9
Q4CQI4 Tc00.1047053507861.24
Q4CTG3 Tc00.1047053510767.69
Q4CW86 Tc00.1047053511705.20
Q4D045 Tc00.1047053506369.40
Q4D6V7 Tc00.1047053510525.120
Q4D928 Tc00.1047053510165.30
Q4DCC8 Tc00.1047053508895.40
Q4DGX1 Tc00.1047053509213.170
Q4DJL3 Tc00.1047053505025.60
Q4CMP2 Tc00.1047053462761.4
Q4E607 Tc00.1047053508153.860
Q4CRH2 Tc00.1047053410199.7
Q4DQ14 Tc00.1047053510121.150
Q4DX69 Tc00.1047053506945.310
Q4DYJ7 Tc00.1047053506211.210
Q4E3S8 Tc00.1047053506401.150
Q4E497 Tc00.1047053510187.540
Q4CS21 Tc00.1047053508765.40
Q4CU98 Tc00.1047053510439.30
Q4D0L5 Tc00.1047053506301.30
Q4D8C1 Tc00.1047053509127.50
Q4CM42 Tc00.1047053508115.10
Q4CQ12 Tc00.1047053506437.40
Q4CWM3 Tc00.1047053510065.10
Q4D9M9 Tc00.1047053503723.50
Q4D9D3 Tc00.1047053506627.10
Q4DEZ0 Tc00.1047053506223.20
Q4DH45 Tc00.1047053507007.60
Q4CY69 Tc00.1047053506509.20
Q4D173 Tc00.1047053504173.60
Q4DCZ1 Tc00.1047053507357.60
Q4CQT8 Tc00.1047053503719.39
Q4CTP3 Tc00.1047053511743.10
Q4CYQ2 Tc00.1047053506041.30
Q4D1R0 Tc00.1047053510945.10
Q4D8L1 Tc00.1047053508097.60
Q4DFA8 Tc00.1047053508209.120
Q4D4U9 Tc00.1047053511523.70
Q4DYT4 Tc00.1047053510625.88
Q4DZJ5 Tc00.1047053508799.200
Q4E2X9 Tc00.1047053508175.170
Q4E5E3 Tc00.1047053511277.500
Q4DF35 Tc00.1047053508121.70
Q4E1P4 Tc00.1047053507093.130
Q4DFX0 Tc00.1047053506367.50
Q4E0Y2 Tc00.1047053508277.140
Q4D460 Tc00.1047053510621.80
Q4DSH8 Tc00.1047053507099.10
Q4E0A3 Tc00.1047053506679.10
Q4DWI7 Tc00.1047053511725.10
Q4E1B7 Tc00.1047053511807.280
Q4DPX5 Tc00.1047053507049.70
Q4CR34 Tc00.1047053506219.40
Q4DA04 Tc00.1047053506797.110
Q4DQ48 Tc00.1047053511825.60
Q4DYZ7 Tc00.1047053510303.250
Q4E517 Tc00.1047053508873.25
Q4DWT7 Tc00.1047053508409.80
Q4CMH0 Tc00.1047053506237.10
Q4CN08 Tc00.1047053511005.10
Q4CTX4 Tc00.1047053506841.20
Q4CU34 Tc00.1047053511573.20
Q4D4B0 Tc00.1047053506269.90
Q4DLW1 Tc00.1047053510575.30
Q4D3N5 Tc00.1047053510807.30
Q4DGJ4 Tc00.1047053511625.60
Q4DP66 Tc00.1047053509599.100
Q4DQ33 Tc00.1047053511825.220
Q4DZZ3 Tc00.1047053509805.140
Q4E153 Tc00.1047053506247.30
Q4E4J0 Tc00.1047053506885.60
Q4E1R4 Tc00.1047053506855.320
Q4DNT2 Tc00.1047053511003.180
Q4DRQ5 Tc00.1047053506739.170
Q4E163 Tc00.1047053511585.180
Q4DWH8 Tc00.1047053511725.134
Q4E1P3 Tc00.1047053507093.140
Q4E2R4 Tc00.1047053504153.190
Q4E4N2 Tc00.1047053506925.150
Q4E5W0 Tc00.1047053508221.400
Q4CX47 Tc00.1047053504203.60
Q4DQ37 Tc00.1047053511825.180
Q4DWX4 Tc00.1047053510729.110
Q4CKJ6 Tc00.1047053447801.10
Q4DSF8 Tc00.1047053509699.240
Q4DAX7 Tc00.1047053506579.100
Q4DG26 Tc00.1047053508241.100
Q4E4S3 Tc00.1047053508461.360
Q4CR71 Tc00.1047053503557.10
Q4CZK1 Tc00.1047053510299.70
Q4D4B3 Tc00.1047053506269.25
Q4CPV6 Tc00.1047053510229.10
Q4D9V9 Tc00.1047053506681.24
Q4DBT1 Tc00.1047053509537.20
Q4CVK5 Tc00.1047053503749.10
Q4CRD6 Tc00.1047053508449.31
Q4CRW8 Tc00.1047053511691.30
Q4DML0 Tc00.1047053504021.100
Q4DQA6 Tc00.1047053506757.10
Q4DU99 Tc00.1047053507011.180
Q4DVX0 Tc00.1047053510013.260
Q4E0U3 Tc00.1047053509965.160
Q4E1E0 Tc00.1047053511807.50
Q4CKE0 Tc00.1047053479883.10
Q4CTK4 Tc00.1047053506153.6
Q4CUK2 Tc00.1047053508943.20
Q4CYM1 Tc00.1047053503487.30
Q4CZV5 Tc00.1047053510489.50
Q4D2J3 Tc00.1047053509857.60
Q4D4I7 Tc00.1047053508445.99
Q4DBE8 Tc00.1047053506615.100
Q4DDH9 Tc00.1047053510181.140
Q4DEY6 Tc00.1047053506223.60
Q4DJ84 Tc00.1047053507515.30
Q4DXA7 Tc00.1047053506067.100
Q4D1I1 Tc00.1047053509721.70
Q4CUH8 Tc00.1047053508157.40
Q4CZH5 Tc00.1047053509471.50
Q4D206 Tc00.1047053503575.27
Q4D4B9 Tc00.1047053510309.40
Q4D631 Tc00.1047053509617.50
Q4DBZ2 Tc00.1047053508385.20
Q4D0W7 Tc00.1047053508779.80
Q4D2C0 Tc00.1047053504179.90
Q4DB32 Tc00.1047053510173.100
Q4DKN5 Tc00.1047053503897.100
Q4DLW0 Tc00.1047053510575.40
Q4CMI1 Tc00.1047053510343.10
Q4CMM3 Tc00.1047053458759.14
Q4CN52 Tc00.1047053427247.4
Q4CTA9 Tc00.1047053503519.20
Q4CUA1 Tc00.1047053508205.48
Q4CZU6 Tc00.1047053509567.4
Q4D0T6 Tc00.1047053509211.39
Q4D3B6 Tc00.1047053511393.88
Q4D7Q7 Tc00.1047053509027.40
Q4DAN5 Tc00.1047053506727.20
Q4DGV8 Tc00.1047053506975.90
Q4CTT7 Tc00.1047053507887.20
Q4CRH1 Tc00.1047053410199.10
Q4DFB9 Tc00.1047053508209.20
Q4D3R4 Tc00.1047053510003.20
Q4D1T5 Tc00.1047053510409.50
Q4DW87 Tc00.1047053506989.210
Q4DY73 Tc00.1047053511907.140
Q4E196 Tc00.1047053506459.130
Q4E590 Tc00.1047053506559.400
Q4DGB9 Tc00.1047053506335.15
Q4D7X7 Tc00.1047053511317.10
Q4DSN2 Tc00.1047053511063.11
Q4E3J0 Tc00.1047053510329.230
Q4DA02 Tc00.1047053511281.10
Q4DKM2 Tc00.1047053506843.5
Q4DXK5 Tc00.1047053506195.210
Q4E182 Tc00.1047053506459.280
Q4E3K2 Tc00.1047053510329.110
Q4CNN7 Tc00.1047053468217.14
Q4CNN8 Tc00.1047053503931.30
Q4D075 Tc00.1047053503917.28
Q4DKI9 Tc00.1047053509105.50
Q4DRG5 Tc00.1047053508547.9
Q4D8Q1 Tc00.1047053510553.30
Q4DDM9 Tc00.1047053507601.10
Q4E0C2 Tc00.1047053509875.204
Q4DG44 Tc00.1047053510761.18
Q4CY32 Tc00.1047053507807.20
Q4DRH2 Tc00.1047053506775.130
Q4DQJ6 Tc00.1047053507723.100
Q4D1C3 Tc00.1047053510709.41
Q4D4P8 Tc00.1047053506229.64
Q4D617 Tc00.1047053506585.70
Q4D8T3 Tc00.1047053507517.110
Q4DDX2 Tc00.1047053509011.50
Q4DH50 Tc00.1047053507007.34
Q4DIX4 Tc00.1047053506287.90
Q4DJQ1 Tc00.1047053507895.124
Q4DRA1 Tc00.1047053508181.70
Q4CRT2 Tc00.1047053510637.9
Q4CXL4 Tc00.1047053509055.54
Q4D9T9 Tc00.1047053508313.100
Q4DDQ0 Tc00.1047053510283.110
Q4DKZ8 Tc00.1047053506957.23
Q4DR36 Tc00.1047053504109.120
Q4DTW4 Tc00.1047053506973.120
Q4DS48 Tc00.1047053506475.30
Q4DNH1 Tc00.1047053508739.90
Q4DPJ9 Tc00.1047053506613.130
Q4DTW6 Tc00.1047053506973.30
Q4DY13 Tc00.1047053506357.150
Q4E5Y5 Tc00.1047053508153.1100
Q4E1N4 Tc00.1047053507093.229
Q4D464 Tc00.1047053510621.40
Q4DPQ1 Tc00.1047053506743.20
Q4E3I6 Tc00.1047053510329.270
Q4DEV1 Tc00.1047053511753.50
Q4DT62 Tc00.1047053511621.40
Q4E173 Tc00.1047053511585.90
Q4E3B3 Tc00.1047053508355.150
Q4DPV8 Tc00.1047053510877.20
Q4CX97 Tc00.1047053507583.20
Q4DBI7 Tc00.1047053510373.30
Q4DIR2 Tc00.1047053511661.120
Q4DJ18 Tc00.1047053504797.110
Q4DKC0 Tc00.1047053506355.150
Q4CNJ8 Tc00.1047053505047.9
Q4CP03 Tc00.1047053508009.5
Q4CQI2 Tc00.1047053511107.30
Q4CUT1 Tc00.1047053509387.10
Q4D0C9 Tc00.1047053506893.100
Q4D4G5 Tc00.1047053508443.60
Q4DM23 Tc00.1047053511577.120
Q4DCF7 Tc00.1047053511321.50
Q4DHW7 Tc00.1047053506661.170
Q4DLG1 Tc00.1047053510747.5
Q4DM03 Tc00.1047053510603.10
Q4CLR2 Tc00.1047053507797.9
Q4CN27 Tc00.1047053511029.20
Q4CRF1 Tc00.1047053509613.10
Q4CWC1 Tc00.1047053508075.20
Q4CYM5 Tc00.1047053510899.50
Q4D328 Tc00.1047053506495.9
Q4CW40 Tc00.1047053511163.59
Q4D3Z8 Tc00.1047053511865.60
Q4CLT3 Tc00.1047053509129.10
Q4CRB5 Tc00.1047053511901.20
Q4CST7 Tc00.1047053507165.50
Q4CV91 Tc00.1047053507129.40
Q4CYS0 Tc00.1047053506417.60
Q4CZ05 Tc00.1047053510061.30
Q4DCL8 Tc00.1047053507771.50
Q4DQK7 Tc00.1047053507677.100
Q4DV30 Tc00.1047053506409.70
Q4E5D3 Tc00.1047053511277.610
Q4CKR7 Tc00.1047053478671.9
Q4CMG3 Tc00.1047053510651.20
Q4CPM9 Tc00.1047053510433.10
Q4CSI1 Tc00.1047053507427.10
Q4CTA0 Tc00.1047053503429.39
Q4CYD2 Tc00.1047053506123.40
Q4CZQ8 Tc00.1047053510123.10
Q4D5H6 Tc00.1047053510131.99
Q4DF55 Tc00.1047053507623.80
Q4DH25 Tc00.1047053507821.20
Q4DWI5 Tc00.1047053511725.40
Q4DQG4 Tc00.1047053505807.260
Q4DVV4 Tc00.1047053511751.114
Q4CSS7 Tc00.1047053503601.10
Q4DN65 Tc00.1047053511233.90
Q4DNR5 Tc00.1047053511589.120
Q4DRI0 Tc00.1047053506775.40
Q4DTA3 Tc00.1047053506147.40
Q4DUE7 Tc00.1047053509419.40
Q4E1J0 Tc00.1047053508165.70
Q4DRJ2 Tc00.1047053507491.59
Q4DXV7 Tc00.1047053510719.20
Q4DYH1 Tc00.1047053511367.220
Q4DZP5 Tc00.1047053507711.340
Q4D1V5 Tc00.1047053508401.10
Q4DTL0 Tc00.1047053511149.100
Q4DQS8 Tc00.1047053508871.10
Q4CLJ0 Tc00.1047053463451.10
Q4DV03 Tc00.1047053506811.140
Q4CNX5 Tc00.1047053508085.20
Q4CQD2 Tc00.1047053416605.10
Q4CTN2 Tc00.1047053508845.9
Q4CVX0 Tc00.1047053507673.30
Q4D4M4 Tc00.1047053507663.30
Q4D520 Tc00.1047053508735.100
Q4D6G7 Tc00.1047053511557.50
Q4D8R1 Tc00.1047053510391.50
Q4D8V4 Tc00.1047053509075.50
Q4DF36 Tc00.1047053508177.129
Q4DHH9 Tc00.1047053510265.4
Q4DLD3 Tc00.1047053506131.84
Q4D531 Tc00.1047053510835.40
Q4D9A9 Tc00.1047053508435.15
Q4CNT4 Tc00.1047053510969.10
Q4CQK7 Tc00.1047053507659.20
Q4CSS0 Tc00.1047053510597.9
Q4CU57 Tc00.1047053503581.30
Q4CZ23 Tc00.1047053504117.20
Q4D2X4 Tc00.1047053508243.50
Q4D4G1 Tc00.1047053511653.40
Q4D4J5 Tc00.1047053508445.20
Q4D728 Tc00.1047053506275.30
Q4E1W7 Tc00.1047053507993.110
Q4CKT3 Tc00.1047053507227.9
Q4CLM3 Tc00.1047053480785.10
Q4CMX7 Tc00.1047053510255.10
Q4CNY9 Tc00.1047053505567.10
Q4CPL9 Tc00.1047053402857.10
Q4CWM4 Tc00.1047053510065.5
Q4CYJ8 Tc00.1047053507253.10
Q4D0E6 Tc00.1047053510031.9
Q4D230 Tc00.1047053510635.50
Q4D3M0 Tc00.1047053511361.30
Q4D6H5 Tc00.1047053509247.10
Q4D7G5 Tc00.1047053511731.20
Q4D978 Tc00.1047053504689.10
Q4DB10 Tc00.1047053511507.80
Q4DK48 Tc00.1047053506909.160
Q4DS95 Tc00.1047053507031.150
Q4E1A8 Tc00.1047053503973.120
Q4D117 Tc00.1047053509067.14
Q4DJL5 Tc00.1047053505025.40
Q4CR70 Tc00.1047053503557.14
Q4CXE4 Tc00.1047053508271.4
Q4DM97 Tc00.1047053506309.70
Q4DPS0 Tc00.1047053507047.160
Q4DUD8 Tc00.1047053506625.19
Q4E0U5 Tc00.1047053509965.144
Q4DS75 Tc00.1047053510759.180
Q4DYZ4 Tc00.1047053510303.280
Q4E2Q0 Tc00.1047053504153.330
Q4E530 Tc00.1047053510359.570
Q4DP33 Tc00.1047053506999.100
Q4DG15 Tc00.1047053509053.50
Q4DP53 Tc00.1047053510885.50
Q4CXP6 Tc00.1047053508643.20
Q4DPE7 Tc00.1047053507625.90
Q4CK96 Tc00.1047053398235.20
Q4DGA7 Tc00.1047053511431.90
Q4DN84 Tc00.1047053511077.7
Q4DPH2 Tc00.1047053510861.94
Q4DTT1 Tc00.1047053504741.130
Q4DUT6 Tc00.1047053508501.300
Q4E5J3 Tc00.1047053511277.10
Q4DSB0 Tc00.1047053509767.240
Q4E466 Tc00.1047053504081.250
Q4DT78 Tc00.1047053511511.40
Q4DYF4 Tc00.1047053506321.40
Q4E522 Tc00.1047053508873.30
Q4CY52 Tc00.1047053510317.40
Q4D6G1 Tc00.1047053507803.40
Q4D472 Tc00.1047053510053.30
Q4DUK9 Tc00.1047053511245.110
Q4DHD8 Tc00.1047053509065.180
Q4CKB8 Tc00.1047053410943.10
Q4CQ14 Tc00.1047053506437.20
Q4CRP2 Tc00.1047053506991.10
Q4DR04 Tc00.1047053510089.60
Q4DZY5 Tc00.1047053509805.220
Q4DW29 Tc00.1047053507681.250
Q4CP05 Tc00.1047053504949.30
Q4DWN3 Tc00.1047053507089.100
Q4DRB3 Tc00.1047053509693.180
Q4DSV6 Tc00.1047053506227.140
Q4DYI3 Tc00.1047053511367.80
Q4E4Q3 Tc00.1047053508461.560
Q4CNV1 Tc00.1047053447255.10
Q4CN89 Tc00.1047053509111.10
Q4CTV3 Tc00.1047053505941.30
Q4CVQ3 Tc00.1047053509165.49
Q4D3D9 Tc00.1047053508397.70
Q4DPY6 Tc00.1047053509179.200
Q4DHG5 Tc00.1047053506445.60
Q4DTF4 Tc00.1047053510311.90
Q4DUU0 Tc00.1047053508501.260
Q4D3P2 Tc00.1047053508951.50
Q4DNT1 Tc00.1047053511003.190
Q4DTJ3 Tc00.1047053507053.120
Q4DV01 Tc00.1047053506811.160
Q4D481 Tc00.1047053506949.30
Q4DPU6 Tc00.1047053510877.130
Q4DTV9 Tc00.1047053508693.40
Q4DUW9 Tc00.1047053506605.130
Q4E052 Tc00.1047053506501.70
Q4E1W0 Tc00.1047053507993.190
Q4DPK6 Tc00.1047053506613.9
Q4E0S2 Tc00.1047053509965.390
Q4DXP1 Tc00.1047053510363.260
Q4DZ28 Tc00.1047053511001.150
Q4E452 Tc00.1047053504081.500
Q4E5U6 Tc00.1047053508221.660
Q4CWY3 Tc00.1047053504171.50
Q4CKI9 Tc00.1047053433733.10
Q4DWJ8 Tc00.1047053506755.180
Q4DX32 Tc00.1047053508257.244
Q4E2A9 Tc00.1047053511603.300
Q4CKD0 Tc00.1047053429251.10
Q4CME1 Tc00.1047053508217.9
Q4DWG9 Tc00.1047053511725.210
Q4CM15 Tc00.1047053508947.9
Q4CZ83 Tc00.1047053510955.40
Q4D5M9 Tc00.1047053510289.70
Q4D6V1 Tc00.1047053506621.60
Q4D7B8 Tc00.1047053510743.30
Q4D947 Tc00.1047053509059.40
Q4DC80 Tc00.1047053511151.90
Q4CSE1 Tc00.1047053504119.10
Q4D078 Tc00.1047053503917.7
Q4D1J9 Tc00.1047053506179.50
Q4D589 Tc00.1047053507927.30
Q4D6P5 Tc00.1047053504013.40
Q4D7X0 Tc00.1047053511317.79
Q4DBT7 Tc00.1047053506567.110
Q4DEM6 Tc00.1047053506769.120
Q4DXP7 Tc00.1047053510363.80
Q4D9R0 Tc00.1047053508995.50
Q4CZS8 Tc00.1047053509985.60
Q4DNS3 Tc00.1047053511589.50
Q4DY50 Tc00.1047053511727.90
Q4DNW3 Tc00.1047053505999.40
Q4DQY2 Tc00.1047053509331.74
Q4DW63 Tc00.1047053508231.70
Q4E172 Tc00.1047053511585.100
Q4DL55 Tc00.1047053509029.90
Q4D3U4 Tc00.1047053505945.69
Q4DMD0 Tc00.1047053504131.20
Q4DQB8 Tc00.1047053511827.30
Q4DS47 Tc00.1047053506475.40
Q4DT35 Tc00.1047053506139.70
Q4E0I4 Tc00.1047053508325.90
Q4E4R0 Tc00.1047053508461.490
Q4CZ66 Tc00.1047053507213.30
Q4DB23 Tc00.1047053506963.70
Q4CVB2 Tc00.1047053509837.10
Q4DGX8 Tc00.1047053509213.100
Q4CN54 Tc00.1047053504935.20
Q4CP48 Tc00.1047053509827.10
Q4CQA9 Tc00.1047053503945.30
Q4E0V7 Tc00.1047053509965.20
Q4CSG7 Tc00.1047053510261.10
Q4DG29 Tc00.1047053508241.70
Q4E5N4 Tc00.1047053506529.480
Q4DYV3 Tc00.1047053507957.160
Q4CRR8 Tc00.1047053507283.10
Q4DNI3 Tc00.1047053509791.140
Q4DV32 Tc00.1047053506409.50
Q4DW31 Tc00.1047053507681.230
Q4DYB1 Tc00.1047053511817.151
Q4E5F8 Tc00.1047053511277.359
Q4D3Y1 Tc00.1047053507509.20
Q4DGH3 Tc00.1047053509493.39
Q4D8S9 Tc00.1047053504233.10
Q4DLI9 Tc00.1047053508637.90
Q4CWA1 Tc00.1047053511611.30
Q4D7H4 Tc00.1047053506319.5
Q4CR10 Tc00.1047053510837.9
Q4CYH1 Tc00.1047053510817.21
Q4CLS9 Tc00.1047053511329.10
Q4CSC0 Tc00.1047053504167.20
Q4CTT3 Tc00.1047053510863.30
Q4CVD0 Tc00.1047053507645.40
Q4CYH6 Tc00.1047053508321.40
Q4D4K3 Tc00.1047053503885.40
Q4D7E8 Tc00.1047053509205.70
Q4DBC3 Tc00.1047053507059.80
Q4DHB7 Tc00.1047053511153.80
Q4DI02 Tc00.1047053511071.140
Q4D353 Tc00.1047053504085.40
Q4DJD8 Tc00.1047053508789.160
Q4DM07 Tc00.1047053511613.110
Q4CLB0 Tc00.1047053509275.20
Q4CPB8 Tc00.1047053511513.30
Q4CQU4 Tc00.1047053503467.30
Q4CUR3 Tc00.1047053511571.49
Q4DF25 Tc00.1047053507001.34
Q4DLB2 Tc00.1047053511089.130
Q4CL45 Tc00.1047053404431.10
Q4DV11 Tc00.1047053506811.50
Q4DI36 Tc00.1047053507653.20
Q4CLB2 Tc00.1047053509339.4
Q4CR19 Tc00.1047053509445.30
Q4CUJ3 Tc00.1047053507487.20
Q4CW23 Tc00.1047053504001.10
Q4CWQ8 Tc00.1047053503837.10
Q4CX90 Tc00.1047053509593.59
Q4D2K2 Tc00.1047053503919.40
Q4DAY2 Tc00.1047053506579.50
Q4E638 Tc00.1047053508153.540
Q4DLJ6 Tc00.1047053508637.19
Q4D6A3 Tc00.1047053510623.30
Q4DG28 Tc00.1047053508241.80
Q4DMX9 Tc00.1047053511529.160
Q4DSN8 Tc00.1047053508495.100
Q4DZ35 Tc00.1047053511001.80
Q4E2R7 Tc00.1047053504153.160
Q4E3M1 Tc00.1047053510101.410
Q4DY25 Tc00.1047053506357.29
Q4E2V9 Tc00.1047053511283.10
Q4E3Z3 Tc00.1047053511127.290
Q4DT39 Tc00.1047053506139.1
Q4E1Q0 Tc00.1047053507093.72
Q4DGS1 Tc00.1047053506737.114
